Pop,Year,Spawners,nFish,p3M,p4M,p5M,p6M,p7M,p3F,p4F,p5F,p6F,p7F,p8F,A3F R BY,A4F R BY,A5F R BY,A6F R BY,A7F R BY,A3 R BY,A4 R BY,A5 R BY,A6 R BY,A7 R BY,p6 BY,Return,R.S,,,,,,
UU,1977,4704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1978,5342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1979,2782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1980,4907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1981,3531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1982,6525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1983,5434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1984,8873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1985,5719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1986,10269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1987,9530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1988,8433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1989,5550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1990,2855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU,1991,3164,,,,,,,,,,,,,,,,142.65,13.19,,,,285.30,26.38,,,,,,,,,
UU,1992,4231,,,,,,,,,,,,,,,713.26,748.44,18.00,,,1141.21,1111.12,18.00,,,,,,,,,
UU,1993,5158,,,,,,,,,,,,,,71.33,639.63,1512.00,27.40,,1069.88,1556.22,1962.00,54.80,,,,,,,,,
UU,1994,3434,,,,,,,,,,,,,,3.30,1044.00,2548.04,98.36,570.60,2126.62,2088.00,3945.35,98.36,0.69,"8,829",2.57,,,,,,
UU,1995,3729,37,0.22,0.05,0.16,0.27,0.00,0.00,0.00,0.00,0.30,0.00,,,0.00,835.65,3442.54,178.81,1727.67,3150.00,3054.91,4163.83,357.61,0.77,"12,454",3.34,,,,,,
UU,1996,5637,154,0.03,0.13,0.30,0.23,0.00,0.00,0.01,0.22,0.08,0.00,,,0.00,1639.30,3129.12,53.81,1602.00,3671.37,3934.33,3665.54,75.34,0.65,"12,949",2.30,,,,,,
UU,1997,2970,86,0.16,0.33,0.14,0.05,0.00,0.02,0.02,0.23,0.05,0.00,,,0.00,536.42,527.35,0.00,520.57,2557.31,1609.26,1043.93,58.28,0.50,"5,789",1.95,,,,,,
UU,1998,4132,1986,0.26,0.32,0.14,0.06,0.00,0.00,0.00,0.10,0.11,0.00,,,0.00,1280.70,2098.15,92.71,2885.17,4112.55,4681.56,2884.95,92.71,0.60,"14,657",3.55,,,,,,
UU,1999,3914,980,0.18,0.36,0.12,0.05,0.00,0.00,0.00,0.12,0.17,0.00,,,10.76,947.08,2235.41,208.28,894.03,2055.58,2957.80,3883.65,267.79,0.66,"10,059",2.57,,,,,,
UU,2000,5872,821,0.05,0.33,0.20,0.12,0.00,0.00,0.00,0.07,0.23,0.00,,,0.00,648.99,3600.33,0.00,516.59,2680.96,3842.44,5385.62,0.00,0.85,"12,426",2.12,,,,,,
UU,2001,10541,416,0.21,0.19,0.17,0.05,0.00,0.00,0.00,0.12,0.25,0.01,,,0.00,1130.68,978.72,0.00,0.00,1256.78,3451.56,1669.58,0.00,0.46,"6,378",0.61,,,,,,
UU,2002,6988,119,0.08,0.39,0.10,0.05,0.02,0.00,0.00,0.05,0.29,0.02,,,29.75,2849.81,1166.33,0.00,185.43,1041.42,6649.55,2099.39,0.00,0.29,"9,976",1.43,,,,,,
UU,2003,5546,778,0.06,0.24,0.41,0.06,0.00,0.00,0.00,0.15,0.06,0.01,,,115.14,576.30,279.13,,654.61,1093.87,2085.67,444.54,,,"4,279",0.77,,,,,,
UU,2004,3963,589,0.00,0.31,0.23,0.09,0.01,0.00,0.00,0.11,0.24,0.00,,,137.22,485.89,,,0.00,1234.94,1416.33,,,,,,,,,,,
UU,2005,4742,899,0.02,0.14,0.34,0.18,0.00,0.00,0.00,0.07,0.24,0.01,,,796.04,,,,0.00,4559.13,,,,,,,,,,,,
UU,2006,5645,363,0.06,0.09,0.21,0.17,0.01,0.00,0.00,0.10,0.33,0.02,,,,,,,0.00,,,,,,,,,,,,,
UU,2007,5668,327,0.00,0.10,0.40,0.07,0.00,0.00,0.01,0.30,0.10,0.00,,,,,,,,,,,,,,,,,,,,
UU,2008,3104,395,0.00,0.20,0.28,0.17,0.00,0.00,0.03,0.11,0.22,0.00,,,,,,,,,,,,,,,,,,,,
UU,2009,3157,621,0.00,0.59,0.14,0.03,0.00,0.00,0.12,0.08,0.04,0.00,,,,,,,,,,,,,,,,,,,,
UU,2010,4854,492,0.01,0.23,0.37,0.03,0.00,0.00,0.02,0.29,0.04,0.00,,,,,,,,,,,,,,,,,,,,
