Year,Sys,pAge,RS,FL6,IncFW,IncS1,IncS2,IncS3,IncS4,MrgFW,MrgS1,MrgS2,MrgS3,AirJJA,Air60,SstS1,SstS2,SstS3,SstS4,SstW1,SstW2,SstW3,SstW4,SbmS1,SbmS2,SbmS3,SbmS4,Flen
1995,DC,0.233799821,4.41626353,890,0.325774586,1.052791599,1.157421818,1.412833685,0.8087,-0.0219,0.0085,0.0672,0.079,56.00000336,41.22727273,10.22266667,8.927333333,7.977,8.703,3.865333333,2.172333333,2.712666667,4.244,3.803043571,3.894318333,3.687387307,3.198210782,772.9578947
1996,DC,0.175856076,1.63731563,890,0.319550551,1.060129919,1.254150811,1.456563318,0.8718,0.0344,-0.04225,0.16405,0.1509,56.00000336,41.22727273,8.927333333,7.977,8.703,8.773666667,2.172333333,2.712666667,4.244,2.602666667,3.894318333,3.687387307,3.198210782,3.714729574,820.7534247
1997,DC,0.227771061,1.103804521,880,0.308026292,0.986673088,1.232900589,1.489564371,0.8442,0.0134,-0.0179,0.1977,0.1123,45.35632184,23,7.977,8.703,8.773666667,10.18666667,2.712666667,4.244,2.602666667,4.649,3.687387307,3.198210782,3.714729574,3.671482726,799.6932515
1998,DC,0.269859637,1.315164656,880,0.308348382,1.019451473,1.185533507,1.329565614,1.0311,-0.0525,0.0107,0.1416,0.2934,55.98913043,35,8.703,8.773666667,10.18666667,10.21866667,4.244,2.602666667,4.649,3.149,3.198210782,3.714729574,3.671482726,4.061947926,821.185567
1999,DC,0.091425863,1.743590008,870,0.310962147,1.120510376,1.079583123,1.373080682,0.9063,-0.00855,0.06535,-0.0157,0.1906,55.72727273,41.22727273,8.773666667,10.18666667,10.21866667,11.21466667,2.602666667,4.649,3.149,3.942666667,3.714729574,3.671482726,4.061947926,3.97842419,821.406639
2000,DC,0.24484593,1.228089041,850,0.310721623,1.143709728,1.237819325,1.266188959,0.9835,-0.018,0.0252,-0.0147,0.35535,57.08695652,46,10.18666667,10.21866667,11.21466667,10.52566667,4.649,3.149,3.942666667,2.858666667,3.671482726,4.061947926,3.97842419,3.976750216,787.3411371
2001,DC,0.19606979,1.133809376,860,0.33714979,1.118928953,1.108045079,1.361524987,0.8838,0.0081,-0.0453,0.0469,0.0362,56.36956522,42,10.21866667,11.21466667,10.52566667,8.94,3.149,3.942666667,2.858666667,1.864333333,4.061947926,3.97842419,3.976750216,3.795776189,816.6911765
2002,DC,0.207136751,0.740088362,860,0.281742813,1.199918236,1.201898636,1.313740949,0.8792,-0.0564,0.0311,-0.0281,0.2497,58.41304348,51,11.21466667,10.52566667,8.94,9.28,3.942666667,2.858666667,1.864333333,2.004333333,3.97842419,3.976750216,3.795776189,3.63939791,785.2996845
2003,DC,0.298284249,0.20835456,840,0.332309052,1.148616865,1.209310119,1.400958844,0.8823,-0.0364,0.2415,0.1449,0.2141,61.65217391,83,10.52566667,8.94,9.28,8.255333333,2.858666667,1.864333333,2.004333333,2.160333333,3.976750216,3.795776189,3.63939791,3.009273758,770.8979592
2004,DC,0.454125366,0.151506032,795,0.333640649,1.027351541,1.171256429,1.289738067,0.6314,-0.004,0.03675,-0.163,0.34805,58.79347826,60,8.94,9.28,8.255333333,8.537666667,1.864333333,2.004333333,2.160333333,2.934,3.795776189,3.63939791,3.009273758,3.91171874,787.5490196
2005,DC,0.078119954,0.663721407,810,0.343916437,1.018508768,1.169352735,1.461559208,0.8839,0.03695,0.04435,-0.05545,0.41295,56.23611111,34,9.28,8.255333333,8.537666667,8.047,2.004333333,2.160333333,2.934,2.924,3.63939791,3.009273758,3.91171874,3.666082985,783.0175439
2006,DC,0.193689441,0.612185202,867.5,0.30693261,1.031771591,1.165976092,1.343294986,0.9518,0.00545,0.04355,0.09605,0.3581,55.91304348,29,8.255333333,8.537666667,8.047,7.924666667,2.160333333,2.934,2.924,1.211333333,3.009273758,3.91171874,3.666082985,3.641450374,779.2190476
2007,DC,0.280372999,0.786524976,840,0.32949278,1.057041739,1.148345582,1.179426016,0.9703,-0.0115,0.0277,0.128,0.1924,53,9,8.537666667,8.047,7.924666667,7.518666667,2.934,2.924,1.211333333,3.064666667,3.91171874,3.666082985,3.641450374,3.222191528,798.6388889
1995,CP,0.205302831,,874,0.31590482,1.429903937,1.216027434,1.220531359,0.91304566,0.010132515,0.14869555,0.206287685,0.07195,53.47826087,10,12.42,10.66766667,10.07666667,10.49966667,3.865333333,2.172333333,2.712666667,4.244,3.803043571,3.894318333,3.687387307,3.198210782,846.031401
1996,CP,0.235252209,,892,0.306990088,1.363171007,1.240915682,1.419117998,0.8252,0.04975332,0.0635299,0.04832747,0.29079281,54.54347826,16,10.66766667,10.07666667,10.49966667,10.83733333,2.172333333,2.712666667,4.244,2.602666667,3.894318333,3.687387307,3.198210782,3.714729574,849.5804989
1997,CP,0.290370547,,891,0.273977295,1.162360628,1.239963514,1.430981346,1.0284,0.0143,0.027,0.0428,0.2236,51.39130435,1,10.07666667,10.49966667,10.83733333,11.18266667,2.712666667,4.244,2.602666667,4.649,3.687387307,3.198210782,3.714729574,3.671482726,843.7824351
1998,CP,0.362202503,,896,0.291679704,1.263984718,1.199208219,1.251566597,0.98395152,-0.00226181,-0.03232643,0.16015863,0.1145,53.94565217,16,10.49966667,10.83733333,11.18266667,11.30366667,4.244,2.602666667,4.649,3.149,3.198210782,3.714729574,3.671482726,4.061947926,813.491453
1999,CP,0.254169717,4.091316426,903,0.302935981,1.33500164,1.118049559,1.35028453,0.9853,0.01583738,0.1119,0.04770826,0.1152,52.04545455,11.59183673,10.83733333,11.18266667,11.30366667,12.29633333,2.602666667,4.649,3.149,3.942666667,3.714729574,3.671482726,4.061947926,3.97842419,822.0107239
2000,CP,0.218242762,2.653242705,854,0.262939814,1.3556117,1.301686321,1.20104156,0.8942,-0.0364,0.1174,0.0542,0.176,53.54347826,6,11.18266667,11.30366667,12.29633333,12.30166667,4.649,3.149,3.942666667,2.858666667,3.671482726,4.061947926,3.97842419,3.976750216,810.0528634
2001,CP,0.211730518,3.119153325,866,0.28953355,1.36716122,1.118718038,1.370875349,0.9723,-0.0076,0.1295,0.0442,0.28899465,52.98913043,12,11.30366667,12.29633333,12.30166667,10.28533333,3.149,3.942666667,2.858666667,1.864333333,4.061947926,3.97842419,3.976750216,3.795776189,811.5542169
2002,CP,0.165719607,4.267095413,874,0.310097723,1.326275404,1.211315445,1.381295294,0.8269204,-0.0394,0.07280712,-0.0226,0.3578,53.82608696,15,12.29633333,12.30166667,10.28533333,10.85166667,3.942666667,2.858666667,1.864333333,2.004333333,3.97842419,3.976750216,3.795776189,3.63939791,817.3251366
2003,CP,0.303560237,1.470225568,850,0.334995709,1.399666994,1.144129441,1.236966451,0.7711,0.0254,0.05108523,0.05594163,0.05233191,56.86956522,47,12.30166667,10.28533333,10.85166667,10.04633333,2.858666667,1.864333333,2.004333333,2.160333333,3.976750216,3.795776189,3.63939791,3.009273758,816.4794521
2004,CP,0.17831642,1.194667134,847,0.323062675,1.385165813,1.178451411,1.279800078,0.89357897,0.04410124,0.08836691,0.12482261,0.13651839,54.2826087,15,10.28533333,10.85166667,10.04633333,10.304,1.864333333,2.004333333,2.160333333,2.934,3.795776189,3.63939791,3.009273758,3.91171874,821.1071429
2005,CP,0.118347384,1.341682775,865,0.314106,1.248481332,1.173003741,1.282700799,0.9351,0.02159034,0.03936425,0.13272728,0.04353453,52.23913043,4,10.85166667,10.04633333,10.304,9.944,2.004333333,2.160333333,2.934,2.924,3.63939791,3.009273758,3.91171874,3.666082985,822.9335548
2006,CP,0.117533949,1.007852854,867.5,0.327301775,1.296763191,1.13001739,1.363350276,0.92705,0.0283873,0.1477,0.11455,0.20521161,53.42391304,14,10.04633333,10.304,9.944,9.968666667,2.160333333,2.934,2.924,1.211333333,3.009273758,3.91171874,3.666082985,3.641450374,780.5568445
2007,CP,0.119397519,1.307271071,878.5,0.291694406,1.317827244,1.202755701,1.301391282,0.8177,0.0769,0.07390284,0.0834,0.19879174,50.0326087,1,10.304,9.944,9.968666667,9.430333333,2.934,2.924,1.211333333,3.064666667,3.91171874,3.666082985,3.641450374,3.222191528,798.5721785
2008,CP,0.157277706,1.316926566,872,0.251192594,1.375168197,1.145295824,1.300181192,0.9505,0.0209,0.0911,0.18706989,0.1611,52.63043478,8,9.944,9.968666667,9.430333333,10.681,2.924,1.211333333,3.064666667,3.895,3.666082985,3.641450374,3.222191528,3.77147875,790.2490706
1979,BC,0.596782455,,857,0.380581398,1.488632565,1.040386061,1.09542326,1.1322,0.05025,0.14265,0.29085,0.0936,50.5,10,8.767666667,7.403,8.722333333,8.591666667,0.490333333,-0.105666667,-1.586666667,0.299666667,2.53690251,2.569691889,2.537062986,2.748330382,600.8571429
1981,BC,0.535463449,,865,0.314106847,1.394280333,0.978613321,0.980614591,1.0686,0.0342,0.004,0.16,0.2233,53.43478261,21,8.722333333,8.591666667,8.075666667,8.036666667,-1.586666667,0.299666667,-0.774666667,0.959,2.537062986,2.748330382,3.068533283,3.077115749,875.2
1982,BC,0.695454388,2.962689834,870,0.326413256,1.374330681,0.986405036,1.109029723,1.1645,0.07025,0.0038,0.2115,0.18995,51.48913043,6,8.591666667,8.075666667,8.036666667,8.756333333,0.299666667,-0.774666667,0.959,-1.046333333,2.748330382,3.068533283,3.077115749,2.81431907,876.8529412
1983,BC,0.539914894,4.078432065,889,0.330841388,1.31563462,1.079662905,1.086257525,1.12475,0.0001,0.03995,0.163,0.1799,52.84782609,16,8.075666667,8.036666667,8.756333333,8.066,-0.774666667,0.959,-1.046333333,0.060666667,3.068533283,3.077115749,2.81431907,3.162825784,846.6438356
1984,BC,0.414380516,1.704943391,878,0.313244427,1.30086126,1.011437019,1.046431763,1.0952,-0.01685,-0.0808,-0.12,0.02785,53.31521739,26,8.036666667,8.756333333,8.066,8.682666667,0.959,-1.046333333,0.060666667,-0.762333333,3.077115749,2.81431907,3.162825784,3.392621031,840.5517241
1985,BC,0.494684508,4.034539768,864,0.336028469,1.456508245,1.103977183,1.255250488,0.958,0.02975,0.11575,0.30915,0.30795,52.77173913,14,8.756333333,8.066,8.682666667,8.244,-1.046333333,0.060666667,-0.762333333,-1.55,2.81431907,3.162825784,3.392621031,3.533875614,790.6909091
1986,BC,0.588254473,4.59625437,860,0.357672357,1.389174308,1.267253336,1.142625642,1.0693,-0.02325,-0.0444,0.1599,0.2833,54.09782609,19,8.066,8.682666667,8.244,8.685,0.060666667,-0.762333333,-1.55,-2.195666667,3.162825784,3.392621031,3.533875614,3.334140052,863.4063927
1987,BC,0.610545387,2.638563158,872.5,0.350354393,1.277514647,1.121843815,1.035857594,1.1834,0.10295,0.0075,0.22725,0.2582,54.63043478,30,8.682666667,8.244,8.685,7.629,-0.762333333,-1.55,-2.195666667,-0.135,3.392621031,3.533875614,3.334140052,3.010150208,831.3093923
1988,BC,0.814200548,3.618343973,844,0.341391304,1.394109508,1.094477946,0.99360499,1.0299,-0.0243,-0.05105,0.2178,0.4486,53.35869565,16,8.244,8.685,7.629,8.569666667,-1.55,-2.195666667,-0.135,-0.053666667,3.533875614,3.334140052,3.010150208,3.802549949,823.3765823
1989,BC,0.642615265,6.229356803,862,0.324317187,1.517950575,0.896708818,1.200742903,0.9776,0.05295,0.0729,0.26135,0.2305,54.77173913,31,8.685,7.629,8.569666667,7.859,-2.195666667,-0.135,-0.053666667,-1.372333333,3.334140052,3.010150208,3.802549949,4.155865263,780.662069
1990,BC,0.660065625,1.897652962,827,0.341759549,1.226882916,1.204408468,1.04238069,1.0543,0.00965,0.0529,0.1248,0.2114,54.61956522,23,7.629,8.569666667,7.859,8.812,-0.135,-0.053666667,-1.372333333,0.689333333,3.010150208,3.802549949,4.155865263,4.271559929,827.7272727
1991,BC,0.762797296,3.885530081,865,0.344438058,1.346023152,0.964197127,1.058328761,0.9352,0.0589,0.1814,0.2591,0.1977,53.93478261,18,8.569666667,7.859,8.812,8.397,-0.053666667,-1.372333333,0.689333333,-0.692666667,3.802549949,4.155865263,4.271559929,4.235556925,823.9105691
1992,BC,0.793097072,1.386697774,837,0.368865078,1.351056803,1.052493443,1.065282477,1.01645,0.05525,-0.1616,0.25535,-0.0725,54.85869565,28,7.859,8.812,8.397,9.071,-1.372333333,0.689333333,-0.692666667,-0.441333333,4.155865263,4.271559929,4.235556925,3.803043571,826.060241
1993,BC,0.603452071,2.003301008,845,0.351034977,1.423849921,1.169216483,1.12585978,0.9815,0.0249,0.1479,0.3451,0.3622,53.2173913,20,8.812,8.397,9.071,7.511666667,0.689333333,-0.692666667,-0.441333333,-1.949,4.271559929,4.235556925,3.803043571,3.894318333,854.9299065
1994,BC,0.753691915,0.543099135,860,0.308914034,1.435539312,0.996515093,1.03701429,1.1188,-0.00785,0.0058,0.309,0.40885,53.2173913,20,8.397,9.071,7.511666667,7.315333333,-0.692666667,-0.441333333,-1.949,0.071333333,4.235556925,3.803043571,3.894318333,3.687387307,784.0571429
1995,BC,0.847819483,0.702663685,852,0.324974878,1.521082756,0.918850663,1.034353574,1.1054,0.09995,-0.08365,0.08165,0.40225,52.41304348,17,9.071,7.511666667,7.315333333,8.506666667,-0.441333333,-1.949,0.071333333,2.320333333,3.803043571,3.894318333,3.687387307,3.198210782,825.1711712
1997,BC,0.697063488,0.941529065,867,0.363381835,1.272823295,1.098716561,1.108099239,1.10265,0.08345,0.06185,0.61275,0.0496,51.93478261,15,7.315333333,8.506666667,7.678,8.973,0.071333333,2.320333333,-1.138,2.086333333,3.687387307,3.198210782,3.714729574,3.671482726,824.1189024
1998,BC,0.825512679,1.743655886,835,0.33491928,1.455310893,1.023783963,1.106075479,0.9467,0.0384,0.0746,0.2886,0.2966,51.76086957,13,8.506666667,7.678,8.973,9.766666667,2.320333333,-1.138,2.086333333,0.832333333,3.198210782,3.714729574,3.671482726,4.061947926,801.7416667
1999,BC,0.775966655,2.494331032,810,0.332986899,1.323197312,1.045204675,1.164559614,1.1011,0.02755,0.144,0.289,0.31735,53.24615385,21.17647059,7.678,8.973,9.766666667,10.00666667,-1.138,2.086333333,0.832333333,1.806,3.714729574,3.671482726,4.061947926,3.97842419,842.1300813
1981,KO,0.256773648,0.896166771,865,0.339549246,1.433739239,1.061570669,1.045248922,0.95845,0.03245,0.1149,0.13825,0.222,51.29347826,17,8.722333333,8.591666667,8.075666667,8.036666667,-1.586666667,0.299666667,-0.774666667,0.959,2.537062986,2.748330382,3.068533283,3.077115749,908.0948081
1983,KO,0.8127484,23.25669871,880,0.353461642,1.365473265,1.072505386,1.179096949,0.9001,-0.01925,0.1752,0.34005,0.1049,52.52173913,19,8.075666667,8.036666667,8.756333333,8.066,-0.774666667,0.959,-1.046333333,0.060666667,3.068533283,3.077115749,2.81431907,3.162825784,880.2205882
1984,KO,0.696234268,3.59308408,860,0.358885888,1.306012508,1.112395032,1.075555002,0.8355,0.01875,0.11465,0.2229,-0.11825,49.62295082,20.31428571,8.036666667,8.756333333,8.066,8.682666667,0.959,-1.046333333,0.060666667,-0.762333333,3.077115749,2.81431907,3.162825784,3.392621031,860.3674699
1985,KO,0.709680136,8.685345048,890,0.342077324,1.493527326,1.057581576,1.160937402,0.765,0.0479,0.0856,0.1915,0.0308,50.04878049,20.31428571,8.756333333,8.066,8.682666667,8.244,-1.046333333,0.060666667,-0.762333333,-1.55,2.81431907,3.162825784,3.392621031,3.533875614,863.9455041
1986,KO,0.635827875,5.804651916,895,0.355836137,1.410073801,1.281357146,1.170157404,0.7586,0.0051,-1E-04,0.23,0.0319,51.50783315,20.31428571,8.066,8.682666667,8.244,8.685,0.060666667,-0.762333333,-1.55,-2.195666667,3.162825784,3.392621031,3.533875614,3.334140052,872.0710059
1987,KO,0.869996768,5.078187199,885,0.362856508,1.236281468,1.093141403,1.086879057,1.0017,-0.0205,0.1306,0.223,0.235,49.89285714,20.31428571,8.682666667,8.244,8.685,7.629,-0.762333333,-1.55,-2.195666667,-0.135,3.392621031,3.533875614,3.334140052,3.010150208,862.3333333
1988,KO,0.856522815,2.1793601,890,0.34149939,1.369210844,1.016083515,1.001901287,0.8708,-0.0487,0.15685,0.1348,0.14795,39.07317073,20.31428571,8.244,8.685,7.629,8.569666667,-1.55,-2.195666667,-0.135,-0.053666667,3.533875614,3.334140052,3.010150208,3.802549949,864.2050562
